tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2020K;2637;Pargas svenska gymnasium;SV;;2;18;;4;;;;;;;;5;;;;;;;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;3
2020K;2637;Pargas svenska gymnasium;SV;;1;21;;4;;;;;;;;;;;;;5;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;15;;2;;;;;;;;;;;;;;;;;;;3;;;;4;;;;;;;6;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;23;;6;;;;;;;;;;;;5;;;;;;;;;;;7;;5;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;14;;4;;;;;;;;;3;;;;;;;;;;;;;;3;;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;12;;2;;;;;;;;;;;;;;;;;;2;;;;;;2;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;23;;7;;;;;;;;;;;;;4;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;18;;4;;;;;;;;5;;;;;;;;;;;;;;;5;;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;14;;2;;;;;;;;;;;;;;;;;;;3;;;;4;;5;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;16;;3;;;;;;;;;4;;;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;16;;3;;;;;;;;3;;;;;;;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;2
2020K;2637;Pargas svenska gymnasium;SV;;2;24;;7;;;;;;;;;;;;;;;;;;;;6;;;5;;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;21;;5;;;;;;;5;;;;5;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;14;;4;;;;;;;;;;;;;;;;;3;;;;;;4;;3;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;17;;4;;;;;;;;;;;;;;;;;;;3;;;;;6;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;20;;5;;;;;;;4;;;;;;;;;;5;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;17;;4;;;;;;;;;;;;;;;;;;;6;;;;;4;3;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;20;;5;;;;;;;5;;6;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;15;;4;;;;;;;;4;;;;;;;;;;;;;;;3;;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;18;;5;;;;;;;;;;;;;;;;;;;;4;;;5;;4;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;1;20;;6;;;;;;;3;;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;12;;3;;;;;;;;3;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;2637;Pargas svenska gymnasium;SV;;2;15;;3;;;;;;;;4;;;;;;;;;;;;;;;4;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;10;2;;;;;;;;;3;;;;;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;13;4;;;;;;;;2;;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;;3;;;;;;;;;;;;2;;;;;6;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;4;;;;;;;;;4;;;;;;;;;;;;3;;;;;5;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;3;;;;;;;;3;;;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;11;4;;;;;;;;;0;;;;;5;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;13;3;;;;;;;;2;;;;;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;17;5;;;;;;;;;4;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;25;6;;;;;;;;6;;;;6;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;11;3;;;;;;;;;2;;;;;;;;;;;;2;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;;4;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;24;7;;;;;;;;;5;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;23;6;;;;;;;;5;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;8;3;;;;;;;;;;;;;;3;;;;;;;;;2;;;0;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;13;5;;;;;;;;;2;;;;;;;;;;;;4;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;11;4;;;;;;;;;;;;;;4;;;;;;;;;0;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;3;;;;;;;;;5;;;;;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;14;2;;;;;;;;4;;;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;4;;;;;;;;;2;;;;;;;;;;;4;;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;21;6;;;;;;;;5;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;5;;;;;;;;;;;;;;5;;;;;;;;;5;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;19;3;;;;;;;;6;;;;6;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;5;;;;;;;;;;;;;;;;;;;;5;;;5;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;20;5;;;;;;;;;3;;;;5;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;17;6;;;;;;;;;3;;;;;;;;;;;4;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;5;;;;;;;;2;;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;3;;;;;;;;;5;;;;;3;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;21;6;;;;;;;;4;;;;;;6;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;;2;;;;3;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;23;7;;;;;;;;;5;;;;;5;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;14;3;;;;;;;;;3;;;;;;;;;;;;2;;;;;6;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;4;;;;;;;;;;;;;;;;;;;;;3;;4;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;3;;3;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;4;;;;;;;;;;;;;;6;;;;;;;;;5;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;;4;;;;;;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;10;2;;;;;;;;;2;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;4;;;;;;;;;4;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;22;6;;;;;;;;5;;;;;;;;;;;;;;;5;;;;;;;;;;;6;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;3;;;;;;;;4;;3;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;11;0;;;;;;;;4;;;;3;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;4;;;;;;;;;3;;;;;;;;;;;6;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;27;7;;;;;;;;;7;;;;;;;;;;;;6;;;;;7;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;3;;;;;;;;;;;;3;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;10;3;;;;;;;;;;;;;;;;;;;;3;;;2;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;;;;;;;;;;;;;5;;;3;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;13;3;;;;;;;;;3;;;;;4;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;18;5;;;;;;;;4;;;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;23;6;;;;;;;;5;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;5;;;;;;;;;4;;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;5;;;;;;;;;;;;;;;;;;;;5;;;5;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;4;;;;;;;;3;;;;4;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;5;;;;;;;;4;;3;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;6;;;;;;;;;;;;;;;;;;;;;5;;5;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;18;5;;;;;;;;;5;;;;;;;;;5;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;17;4;;;;;;;;;;;;;;5;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;6;;;;;;;;5;;;;;;;;;;;;;5;;;;;;;;;;4;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;;5;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;6;;;;;;;;4;;;;;;6;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;;5;;;;;4;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;4;;;;;;;;4;;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;;;;;;;;;;;;;4;;;3;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;6;;;;;;;;;;;;;;;;;;;;;3;;4;;;5;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;10;3;;;;;;;;;3;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;2;;;;;;;;4;;;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;6;;;;;;;;;5;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;13;3;;;;;;;;2;;;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;12;3;;;;;;;;;;;;;;4;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;3;;;;;;;;4;;;;;;4;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;5;;;;;;;;;;2;;;;;;;;;;;;;2;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;18;4;;;;;;;;3;;;;;;5;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;5;;;;;;;;;4;;;;;5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;12;3;;;;;;;;;;;;;;;;;;;;3;;;2;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;17;5;;;;;;;;3;;;;;;;;;;;;3;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;22;7;;;;;;;;;6;;;;;;;;;;;5;;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;3;;;;;;;;;3;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;23;7;;;;;;;;6;;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;25;5;;;;;;;;6;;;;;;;;;;;7;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;;3;;;;;;;;;;;5;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;13;3;;;;;;;;;;;;;4;;;;;;;;;;2;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;19;6;;;;;;;;5;;;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;25;7;;;;;;;;;6;;;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;3;;;;3;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;4;;;;;;;;;;;;;;;;;;;;5;;;6;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;5;;;;;;;;;3;;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;12;3;;;;;;;;;3;;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;12;3;;;;;;;;3;;;;;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;21;5;;;;;;;;;5;;;;;;;;;;;5;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;12;3;;;;;;;;;;;;;2;;;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;11;3;;;;;;;;;3;;;;;;;;;;;;3;;;;;2;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;4;;;;;;;;4;;;;4;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;17;5;;;;;;;;;3;;;;;;;;;;;;3;;;;;6;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;;;;;;;4;;;;;;;;;4;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;11;4;;;;;;;;;2;3;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;20;5;;;;;;;;4;;;;5;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;4;;;;;;;;;;;;;;5;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;12;2;;;;;;;;;2;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;4;;;;;;;;3;;4;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;5;;;;;;;;3;;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;5;;;;;;;;4;;;;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;17;5;;;;;;;;;4;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;17;5;;;;;;;;4;;;;;;;;;;4;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;3;;;;;;;;;3;;;;;;;;;;;4;;;;;;6;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;24;7;;;;;;;;4;;;;;;7;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;6;;;;;;;;;;;;;;5;;;;;;;;;5;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;2;;;;;;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;5;;;;;;;;;2;3;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;3;;;;;;;;4;;;;5;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;11;3;;;;;;;;;;;;;;;;;;;;3;;;2;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;;4;;;;;;;;;;;;;4;;;;;;;;;3;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;5;;;;;;;;;4;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;2;;;;;;;;5;;4;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;13;4;;;;;;;;3;;3;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;17;4;;;;;;;;;5;;;;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;6;;;;;;;;;4;;;;;;;;;;;5;;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;26;7;;;;;;;;;6;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;11;3;;;;;;;;3;;;;;;;;;;;;;2;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;5;;;;;;;;;3;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;18;5;;;;;;;;;4;;;;;;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;5;;;;;;;;3;;;;;;;;;;;;5;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;12;4;;;;;;;;;2;2;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;6;;;;;;;;2;;;;;;6;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;20;5;;;;;;;;5;;;;5;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;16;4;;;;;;;;;5;5;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;3;;;;;;;;4;;;;;;;;;;;;;2;;;;;6;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;17;6;;;;;;;;;;3;;;;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;10;3;;;;;;;;;2;;;;;;;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;19;5;;;;;;;;5;;;;;;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;12;5;;;;;;;;;;;;;;;;;;;;4;;;0;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;16;3;;;;;;;;4;;;;;;;;;;;4;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;3;;;;2;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;25;7;;;;;;;;;;;;;;6;;;;;;;;;5;;;7;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;5;;;;;;;;;5;;;;;;;;;;;5;;;;;;4;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;4;;;;;;;;;5;;;;;;;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;10;2;;;;;;;;;;;;;;;;;;3;;;;;2;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;18;5;;;;;;;;;3;;;;;4;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;10;2;;;;;;;;2;;;;;;;;;;3;;;;;;;;;;;;;3;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;3;;;;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;3;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;2;;;;;;;;5;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;13;4;;;;;;;;;;;;;;;;;;;;3;;;3;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;12;4;;;;;;;;3;;;;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;4;;;;;;;;;;;;;;5;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;14;4;;;;;;;;3;;3;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;6;;;;;;;;3;;4;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;13;3;;;;;;;;;4;;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;15;5;;;;;;;;;;3;;;;;;;;;;;;;4;;;3;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;6;;;;;;;;;5;;;;;;;;;;;4;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;11;3;;;;;;;;2;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;2
2020K;1203;Jyväskylän Lyseon lukio;FI;;1;15;4;;;;;;;;;4;;;;;;;;;;;;;;2;;;5;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;24;7;;;;;;;;5;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;1
2020K;1203;Jyväskylän Lyseon lukio;FI;;2;19;4;;;;;;;;;3;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
